Δευτέρα,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
14:00-15:00,"Αρχιτεκτονική Υπολογιστών I
2ο
Γκιζόπουλος","Ηλεκτρονική
6ο
Συβρίδης","Σχεδίαση και Χρήση Βάσεων Δεδομένων (περιττοί ΑΜ)
4ο
Ρούσσου", , , ,"Θεωρία Γραφημάτων
8ο
Κολλιόπουλος","Λογικός Προγραμματισμός
6ο
Σταματόπουλος, Καράλη","Αλγόριθμοι & Πολυπλοκότητα (Φροντ. Αμmod4=2)
4ο
Φουρτουνέλλη", 
15:00-16:00,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική
2ο
Βαρουτάς, Τσίπουρας","Μεταγλωττιστές
6ο
Σμαραγδάκης","Διαχείριση Δικτύων
6ο
Αλωνιστιώτη", , , , ,"Ιστορία της Πληροφορικής και των Τηλεπικοινωνιών
8ο
Τύμπας", , 
16:00-17:00,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική
2ο
Βαρουτάς, Τσίπουρας","Μεταγλωττιστές
6ο
Σμαραγδάκης","Διαχείριση Δικτύων
6ο
Αλωνιστιώτη", ,, , ,"Ιστορία της Πληροφορικής και των Τηλεπικοινωνιών
8ο
Τύμπας", , 
17:00-18:00,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική
2ο
Βαρουτάς, Τσίπουρας",,"Μικροοικονομική Ανάλυση
8ο
Κατσιάνης, Αθανασίου",,, ,,"Ιστορία της Πληροφορικής και των Τηλεπικοινωνιών
8ο
Τύμπας", , 
18:00-19:00, ,,"Μικροοικονομική Ανάλυση
8ο
Κατσιάνης, Αθανασίου",,,,,,,
19:00-20:00, ,,"Μικροοικονομική Ανάλυση
8ο
Κατσιάνης, Αθανασίου",, ,,,,,
20:00-21:00, ,, , , ,,,,,
,,,,,,,,,,
,,,,,,,,,,
Τετάρτη,,,,,,,,,,
Ώρα/Αίθ.,Online,Online,Online,Online,Online,Online,Online,Online,Online,Online
 9:00-10:00,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική (Φ)
2ο
Πίνο","Τεχνικές Εξόρυξης Δεδομένων
6ο
Γουνόπουλος","Σχεδίαση και Χρήση Βάσεων Δεδομένων (άρτιοι ΑΜ)
4ο
Ιωαννίδης", , ,,"Θεωρία Γραφημάτων
8ο
Κολλιόπουλος", ,"Ασύρματες Ζεύξεις
8ο
Πασσάς", 
10:00-11:00,"Ηλεκτρομαγνητισμός, Οπτική, Σύγχρονη Φυσική (Φ)
2ο
Πίνο","Τεχνικές Εξόρυξης Δεδομένων
6ο
Γουνόπουλος","Σχεδίαση και Χρήση Βάσεων Δεδομένων (άρτιοι ΑΜ)
4ο
Ιωαννίδης", , ,,"Θεωρία Γραφημάτων
8ο
Κολλιόπουλος",,"Ασύρματες Ζεύξεις
8ο
Πασσάς", 
11:00-12:00,"Αλγόριθμοι & Πολυπλοκότητα (περιττοί ΑΜ)
4ο
Εμίρης","Αλγόριθμοι & Πολυπλοκότητα (άρτιοι ΑΜ)
4ο
Ζησιμόπουλος","Προστασία και Ασφάλεια Υπολογιστικών Συστημάτων
8ο - Μ108
Χατζηκοκολάκης", ,"Παράλληλοι Αλγόριθμοι
8ο - Μ128
Λουκά",,,,"Επιστημονικοί Υπολογισμοί
6ο
Τζαφέρης", 
12:00-13:00,"Αλγόριθμοι & Πολυπλοκότητα (περιττοί ΑΜ)
4ο
Εμίρης","Αλγόριθμοι & Πολυπλοκότητα (άρτιοι ΑΜ)
4ο
Ζησιμόπουλος","Προστασία και Ασφάλεια Υπολογιστικών Συστημάτων
8ο - Μ108
Χατζηκοκολάκης",,"Παράλληλοι Αλγόριθμοι
8ο - Μ128
Λουκά",,,,"Επιστημονικοί Υπολογισμοί
6ο
Τζαφέρης", 
13:00-14:00,"Ανάλυση I (Φ)
2ο
Λουκά","Ηλεκτρονική
6ο
Συβρίδης","Σχεδίαση και Χρήση Βάσεων Δεδομένων (περιττοί ΑΜ)
4ο
Ρούσσου",,"Παράλληλοι Αλγόριθμοι
8ο - Μ128
Τζαφέρης",,,"Τεχνολογία Λογισμικού
8ο
Σαΐδης","Μαθηματικά Πληροφορικής
6ο
Κολλιόπουλος", 
